Block,AVR_Before,AVR_After,Delta_AVR,Reduction_Pct
encoder.block1.blk0,0.269484,0.000000,-2.69e-01,100.00
encoder.block1.blk1,0.018104,0.000000,-1.81e-02,100.00
encoder.block2.blk0,0.024639,0.000000,-2.46e-02,100.00
encoder.block2.blk1,0.005477,0.000000,-5.48e-03,100.00
encoder.block3.blk0,0.007415,0.000000,-7.41e-03,100.00
encoder.block3.blk1,0.003819,0.000000,-3.82e-03,100.00
encoder.block3.blk2,0.003160,0.000000,-3.16e-03,100.00
encoder.block3.blk3,0.001808,0.000000,-1.81e-03,100.00
encoder.block3.blk4,0.001585,0.000000,-1.58e-03,100.00
encoder.block3.blk5,0.000938,0.000000,-9.38e-04,100.00
encoder.block3.blk6,0.000532,0.000000,-5.32e-04,100.00
encoder.block3.blk7,0.003019,0.000000,-3.02e-03,100.00
encoder.block3.blk8,0.004094,0.000000,-4.09e-03,100.00
encoder.block4.blk0,0.003938,0.000000,-3.94e-03,100.00
encoder.block4.blk1,0.000164,0.000000,-1.64e-04,100.00
bridge.blk0,0.000799,0.000000,-7.99e-04,100.00
bridge.blk1,0.000124,0.000000,-1.24e-04,100.00
decoder.block1.blk0,0.472590,0.000000,-4.73e-01,100.00
decoder.block1.blk1,0.002643,0.000000,-2.64e-03,100.00
decoder.block1.blk2,0.001777,0.000000,-1.78e-03,100.00
decoder.block1.blk3,0.000731,0.000000,-7.31e-04,100.00
decoder.block1.blk4,0.000438,0.000000,-4.38e-04,100.00
decoder.block1.blk5,0.000029,0.000000,-2.87e-05,100.00
decoder.block1.blk6,0.000237,0.000000,-2.37e-04,100.00
decoder.block1.blk7,0.001000,0.000000,-1.00e-03,100.00
decoder.block1.blk8,0.001568,0.000000,-1.57e-03,100.00
decoder.block2.blk0,0.307113,0.000000,-3.07e-01,100.00
decoder.block2.blk1,0.003541,0.000000,-3.54e-03,100.00
decoder.block3.blk0,0.426500,0.000000,-4.27e-01,100.00
decoder.block3.blk1,0.002355,0.000000,-2.35e-03,100.00
