image_index,area_px,size_bin,baseline_dice,intervened_dice
0,1848,Small,0.9254,0.0000
1,1617,Small,0.9187,0.3449
2,5454,Medium,0.9622,0.1348
3,2887,Medium,0.8754,0.2802
4,3444,Medium,0.9227,0.3317
5,7887,Large,0.9239,0.5094
6,3635,Medium,0.8865,0.3565
7,12621,Large,0.9579,0.0450
8,1703,Small,0.6690,0.0674
9,6503,Large,0.9077,0.0000
10,3913,Medium,0.7695,0.0000
11,3792,Medium,0.9626,0.6706
12,13037,Large,0.9207,0.0756
13,3867,Medium,0.9625,0.0370
14,7948,Large,0.9398,0.0002
15,15188,Large,0.8665,0.3801
16,2836,Medium,0.9508,0.0000
17,2631,Small,0.8054,0.0000
18,11721,Large,0.9542,0.4425
19,4278,Medium,0.9527,0.4327
20,20877,Large,0.9083,0.3779
21,6168,Large,0.9374,0.0000
22,3385,Medium,0.9194,0.2146
23,14077,Large,0.9516,0.3217
24,6562,Large,0.9636,0.5737
25,4369,Medium,0.9501,0.2298
26,11701,Large,0.9723,0.4194
27,7267,Large,0.7919,0.0494
28,1006,Small,0.9259,0.2372
29,3042,Medium,0.9776,0.4701
30,1397,Small,0.9510,0.0000
31,1933,Small,0.9533,0.0000
32,3908,Medium,0.9575,0.1364
33,4509,Medium,0.9066,0.4131
34,678,Small,0.9218,0.0000
35,8900,Large,0.8875,0.8812
36,2145,Small,0.6027,0.0389
37,2421,Small,0.9684,0.5582
38,1523,Small,0.8276,0.0310
39,6235,Large,0.9324,0.0000
40,1290,Small,0.9496,0.0000
41,5972,Medium,0.9622,0.3845
42,1450,Small,0.8660,0.1420
43,8959,Large,0.8861,0.2434
44,2010,Small,0.9041,0.5287
45,2519,Small,0.8446,0.1392
46,15362,Large,0.8840,0.0000
47,1627,Small,0.9440,0.4400
48,3037,Medium,0.9616,0.2106
49,4949,Medium,0.9322,0.5882
50,4233,Medium,0.8398,0.5959
51,8173,Large,0.9040,0.4814
52,10574,Large,0.8178,0.6019
53,6445,Large,0.7096,0.6981
54,8344,Large,0.9603,0.5901
55,6535,Large,0.9010,0.1032
56,2695,Small,0.8978,0.1811
57,1113,Small,0.5586,0.2694
58,6152,Large,0.9278,0.0000
59,5563,Medium,0.7367,0.2169
60,2619,Small,0.9182,0.2311
61,10029,Large,0.8337,0.0000
62,7912,Large,0.9109,0.4746
63,1255,Small,0.7774,0.0000
64,3687,Medium,0.9007,0.5297
65,1990,Small,0.9318,0.0000
66,2960,Medium,0.8543,0.0000
67,15121,Large,0.9256,0.3290
68,1501,Small,0.9413,0.0000
69,5821,Medium,0.6669,0.5062
70,2945,Medium,0.8113,0.2745
71,1625,Small,0.8711,0.0043
72,2771,Medium,0.4878,0.2714
73,2281,Small,0.9592,0.0000
74,1873,Small,0.9424,0.0474
75,26466,Large,0.9354,0.3833
76,8800,Large,0.9623,0.0000
77,880,Small,0.8847,0.0000
78,6109,Large,0.9226,0.2020
79,2409,Small,0.8063,0.0000
80,4284,Medium,0.9060,0.0185
81,2679,Small,0.9419,0.0000
82,2720,Small,0.9421,0.4200
83,7862,Large,0.8918,0.0000
84,10790,Large,0.9102,0.6014
85,3734,Medium,0.8830,0.2336
86,2095,Small,0.5778,0.1303
87,4317,Medium,0.9233,0.0132
88,6909,Large,0.9487,0.0000
89,4850,Medium,0.8936,0.1205
90,2587,Small,0.9528,0.0000
91,7679,Large,0.9441,0.4967
92,2813,Medium,0.8222,0.2079
93,3275,Medium,0.9182,0.3795
94,8967,Large,0.9337,0.2890
95,15895,Large,0.9635,0.1644
96,387,Small,0.7286,0.0000
97,1731,Small,0.5009,0.4384
98,4350,Medium,0.7853,0.4144
99,4216,Medium,0.9746,0.0000
100,791,Small,0.9432,0.0000
101,23435,Large,0.9603,0.7731
102,1070,Small,0.3876,0.1098
103,5872,Medium,0.9725,0.6060
104,2919,Medium,0.9418,0.0000
105,4776,Medium,0.9758,0.4270
106,3553,Medium,0.9522,0.0000
107,3764,Medium,0.7863,0.4128
108,2658,Small,0.9310,0.0000
109,13031,Large,0.9690,0.8909
110,12671,Large,0.9782,0.0070
111,1664,Small,0.8519,0.0000
112,10767,Large,0.9666,0.4701
113,3735,Medium,0.9547,0.0750
114,6846,Large,0.6696,0.6701
115,1999,Small,0.9314,0.0000
116,2394,Small,0.9198,0.0000
117,1511,Small,0.8445,0.0000
118,3301,Medium,0.7304,0.0000
119,3346,Medium,0.6356,0.0000
120,1795,Small,0.5252,0.0000
121,2774,Medium,0.9752,0.0316
122,15152,Large,0.9696,0.5384
