Layer,Resolution,AVR_Before,AVR_After,Delta_AVR,Reduction_Pct
vmunet.layers.0.blocks.0,64x64,0.247384,0.000000,-2.47e-01,100.00
vmunet.layers.0.blocks.1,64x64,0.004498,0.000000,-4.50e-03,100.00
vmunet.layers.1.blocks.0,32x32,0.014882,0.000000,-1.49e-02,100.00
vmunet.layers.1.blocks.1,32x32,0.009461,0.000000,-9.46e-03,100.00
vmunet.layers.2.blocks.0,16x16,0.006214,0.000000,-6.21e-03,100.00
vmunet.layers.2.blocks.1,16x16,0.000545,0.000000,-5.45e-04,100.00
vmunet.layers.2.blocks.2,16x16,0.002631,0.000000,-2.63e-03,100.00
vmunet.layers.2.blocks.3,16x16,0.001441,0.000000,-1.44e-03,100.00
vmunet.layers.2.blocks.4,16x16,0.002820,0.000000,-2.82e-03,100.00
vmunet.layers.2.blocks.5,16x16,0.002465,0.000000,-2.46e-03,100.00
vmunet.layers.2.blocks.6,16x16,0.001747,0.000000,-1.75e-03,100.00
vmunet.layers.2.blocks.7,16x16,0.002612,0.000000,-2.61e-03,100.00
vmunet.layers.2.blocks.8,16x16,0.000738,0.000000,-7.38e-04,100.00
vmunet.layers.3.blocks.0,8x8,0.006563,0.000000,-6.56e-03,100.00
vmunet.layers.3.blocks.1,8x8,0.000136,0.000000,-1.36e-04,100.00
vmunet.layers_up.0.blocks.0,8x8,0.000581,0.000000,-5.81e-04,100.00
vmunet.layers_up.0.blocks.1,8x8,0.000072,0.000000,-7.16e-05,100.00
vmunet.layers_up.1.blocks.0,16x16,0.149054,0.000000,-1.49e-01,100.00
vmunet.layers_up.1.blocks.1,16x16,0.000980,0.000000,-9.80e-04,100.00
vmunet.layers_up.1.blocks.2,16x16,0.001651,0.000000,-1.65e-03,100.00
vmunet.layers_up.1.blocks.3,16x16,0.000304,0.000000,-3.04e-04,100.00
vmunet.layers_up.1.blocks.4,16x16,0.000079,0.000000,-7.87e-05,100.00
vmunet.layers_up.1.blocks.5,16x16,0.000081,0.000000,-8.05e-05,100.00
vmunet.layers_up.1.blocks.6,16x16,0.000304,0.000000,-3.04e-04,100.00
vmunet.layers_up.1.blocks.7,16x16,0.000060,0.000000,-5.99e-05,100.00
vmunet.layers_up.1.blocks.8,16x16,0.000533,0.000000,-5.33e-04,100.00
vmunet.layers_up.2.blocks.0,32x32,0.265800,0.000000,-2.66e-01,100.00
vmunet.layers_up.2.blocks.1,32x32,0.005431,0.000000,-5.43e-03,100.00
vmunet.layers_up.3.blocks.0,64x64,0.090305,0.000000,-9.03e-02,100.00
vmunet.layers_up.3.blocks.1,64x64,0.002177,0.000000,-2.18e-03,100.00
