Layer,Resolution,AVR_Before,AVR_After,Delta_AVR,Reduction_Pct
vmunet.layers.0.blocks.0,64x64,0.138129,0.000000,-1.38e-01,100.00
vmunet.layers.0.blocks.1,64x64,0.022178,0.000000,-2.22e-02,100.00
vmunet.layers.1.blocks.0,32x32,0.009452,0.000000,-9.45e-03,100.00
vmunet.layers.1.blocks.1,32x32,0.005356,0.000000,-5.36e-03,100.00
vmunet.layers.2.blocks.0,16x16,0.008600,0.000000,-8.60e-03,100.00
vmunet.layers.2.blocks.1,16x16,0.009897,0.000000,-9.90e-03,100.00
vmunet.layers.3.blocks.0,8x8,0.009763,0.000000,-9.76e-03,100.00
vmunet.layers.3.blocks.1,8x8,0.000663,0.000000,-6.63e-04,100.00
vmunet.layers_up.0.blocks.0,8x8,0.000336,0.000000,-3.36e-04,100.00
vmunet.layers_up.0.blocks.1,8x8,0.000108,0.000000,-1.08e-04,100.00
vmunet.layers_up.1.blocks.0,16x16,0.309142,0.000000,-3.09e-01,100.00
vmunet.layers_up.1.blocks.1,16x16,0.018772,0.000000,-1.88e-02,100.00
vmunet.layers_up.2.blocks.0,32x32,0.352732,0.000000,-3.53e-01,100.00
vmunet.layers_up.2.blocks.1,32x32,0.016512,0.000000,-1.65e-02,100.00
vmunet.layers_up.3.blocks.0,64x64,0.245252,0.000000,-2.45e-01,100.00
