layer,stage,resolution,dice,delta_dice,iou,delta_iou,accuracy,sensitivity,specificity,avr_before,avr_after,delta_avr,reduction_pct
vmunet.layers.2.blocks.0,Encoder,64x64,0.8645402234155967,-0.08797433444683622,0.7614010123865731,-0.1479333989047854,0.9063552856445313,0.9753088879039447,0.8758950983260699,0.1868052825331688,4.135020539137394e-15,-0.18680528253316467,99.99999999946246
vmunet.layers.2.blocks.1,Encoder,64x64,0.8836298173530883,-0.06888474050934457,0.7915204392668421,-0.11781397202451638,0.9205587768554687,0.9843705957639654,0.8923699673749722,0.18301702290773392,4.029156921433542e-15,-0.1830170229077299,99.9999999994514
vmunet.layers.2.blocks.2,Encoder,64x64,0.9062461176096155,-0.0462684402528174,0.8285649378716047,-0.08076947341975382,0.9385104370117188,0.9699344126772277,0.9246289260580035,0.156733201444149,4.18010522300772e-15,-0.15673320144414482,99.99999999935929
vmunet.layers.1.blocks.1,Encoder,64x64,0.9309381305806461,-0.02157642728178677,0.8707991157576991,-0.03853529553365942,0.9556411743164063,0.9757680489638996,0.946750146845624,0.1797918125987053,5.496844324590836e-15,-0.1797918125986998,99.99999999944073
vmunet.layers.2.blocks.3,Encoder,64x64,0.9313538686206165,-0.021160689241816355,0.8715269173514404,-0.03780749393991811,0.9566482543945313,0.9598189252045558,0.9552476136211141,0.12754026055335999,4.225892774817677e-15,-0.12754026055335577,99.99999999921262
vmunet.layers.1.blocks.0,Encoder,64x64,0.9331884735472179,-0.019326084315214986,0.8747453982336791,-0.03458901305767936,0.9576055908203125,0.9662969805927262,0.9537661777679025,0.20341043770313263,5.4766892603142155e-15,-0.20341043770312717,99.99999999950569
vmunet.layers.0.blocks.0,Encoder,64x64,0.9382461174847383,-0.014268440377694591,0.8836757114201106,-0.025658699871247914,0.9630657958984375,0.9157255192952226,0.9839783174461401,0.22935821786522864,6.645668334688266e-15,-0.229358217865222,99.99999999956111
vmunet.layers.2.blocks.4,Encoder,64x64,0.9391143875294103,-0.013400170333022543,0.8852173848812989,-0.02411702641005964,0.962061767578125,0.9549155631695061,0.9652185964858248,0.10476486831903457,4.161284807370263e-15,-0.10476486831903041,99.9999999990415
vmunet.layers.2.blocks.5,Encoder,64x64,0.9441967625145866,-0.008317795347846269,0.8942923539080655,-0.015042057383293006,0.9652816772460937,0.9586187319784264,0.9682250268941985,0.10496854186058044,3.980523720085636e-15,-0.10496854186057646,99.99999999904354
vmunet.layers.0.blocks.1,Encoder,64x64,0.945674507676604,-0.006840050185828894,0.8969473986564055,-0.01238701263495301,0.9661679077148437,0.9610609508916789,0.9684239009677511,0.2139694519340992,6.392375540844545e-15,-0.2139694519340928,99.99999999952965
vmunet.layers.2.blocks.6,Encoder,64x64,0.9473067001007571,-0.00520785776167576,0.8998886002137824,-0.009445811077576138,0.9674737548828125,0.95423030761799,0.9733240349437586,0.07949175164103509,3.817520106792955e-15,-0.07949175164103127,99.9999999987372
vmunet.layers_up.3.blocks.1,Decoder,8x8,0.9491375142245367,-0.003377043637896149,0.9031985888468932,-0.006135822444465311,0.9683139038085937,0.9649045572482209,0.969819979364615,0.01945905927568674,6.921426602227187e-15,-0.01945905927567982,99.99999999482544
vmunet.layers_up.3.blocks.0,Decoder,8x8,0.9501266212250308,-0.0023879366374021105,0.9049916308323518,-0.004342780459006712,0.969132080078125,0.959630679130084,0.9733293147864194,0.0741559997200966,6.820181770481417e-15,-0.07415599972008978,99.9999999986423
