layer,stage,resolution,dice,delta_dice,iou,delta_iou,accuracy,sensitivity,specificity,avr_before,avr_after,delta_avr,reduction_pct
vmunet.layers.0.blocks.0,Encoder,64x64,0.9112393648336709,-0.029544315674574495,0.8369510573776957,-0.051237373253417484,0.947640380859375,0.877187862610246,0.9787627128711565,0.10677484795451164,6.750907900868229e-15,-0.1067748479545049,99.99999999905714
vmunet.layers.1.blocks.0,Encoder,64x64,0.9185127738084803,-0.02227090669976506,0.8493052451881864,-0.03888318544292679,0.9497854614257812,0.9236537666645086,0.9613291123924507,0.18387975543737411,5.31328826151433e-15,-0.1838797554373688,99.99999999945328
vmunet.layers.2.blocks.0,Encoder,64x64,0.9239131332736261,-0.016870547234619226,0.8585860136777951,-0.02960241695331811,0.9522177124023438,0.9468309420769817,0.9545973130000726,0.15834282115101814,3.634388640157084e-15,-0.1583428211510145,99.99999999936617
vmunet.layers.1.blocks.1,Encoder,64x64,0.930391074160273,-0.010392606347972344,0.8698422869179433,-0.018346143713169893,0.9568545532226562,0.9410650345366806,0.9638295578791752,0.18111408203840257,5.0546274810706794e-15,-0.18111408203839752,99.99999999944507
vmunet.layers.0.blocks.1,Encoder,64x64,0.9325895016841423,-0.008194178824103004,0.8736933945802168,-0.014495036050896415,0.9591342163085937,0.9225860428981928,0.975279336675767,0.16552478298544884,6.622067709788804e-15,-0.1655247829854422,99.99999999939185
vmunet.layers.2.blocks.1,Encoder,64x64,0.9360287369366347,-0.004754943571610659,0.8797500171589587,-0.00843841347215446,0.9604345703125,0.944722386840703,0.9673754122127161,0.15496844053268433,3.9618975926304555e-15,-0.15496844053268036,99.99999999935214
vmunet.layers_up.2.blocks.0,Decoder,16x16,0.9368110322322734,-0.0039726482759719906,0.8811331387299883,-0.0070552919011248605,0.9620849609375,0.917289256527607,0.9818734201720789,0.26980607509613036,6.229922456615932e-15,-0.26980607509612414,99.99999999962706
vmunet.layers_up.2.blocks.1,Decoder,16x16,0.938023454014851,-0.0027602264933943577,0.883280763177955,-0.004907667453158182,0.9630386352539062,0.912889876046434,0.9851918012843217,0.20560095608234405,6.344875542525124e-15,-0.2056009560823377,99.99999999951052
vmunet.layers.3.blocks.0,Encoder,64x64,0.9421273944401134,0.0013437139318680513,0.8905868149799435,0.002398384348830329,0.9646810913085937,0.9382702277379097,0.9763480648276681,0.07365111261606216,1.998691584873452e-15,-0.07365111261606017,99.99999999863952
vmunet.layers_up.3.blocks.0,Decoder,8x8,0.9395622122706004,-0.001221468237644907,0.8860135154956927,-0.002174915135420452,0.9632412719726563,0.9325272284500575,0.9768091710867016,0.17129578590393066,6.503567715764632e-15,-0.17129578590392416,99.99999999941241
vmunet.layers_up.0.blocks.0,Decoder,64x64,0.9418589660951399,0.0010752855868945144,0.8901072124756335,0.001918781844520323,0.9644903564453124,0.938714448633224,0.9758768388702017,0.06676049940288067,1.8465026023776945e-15,-0.06676049940287883,99.99999999849933
vmunet.layers.3.blocks.1,Encoder,64x64,0.941844555691366,0.001060875183120702,0.8900814722044342,0.0018930415733210415,0.9644842529296875,0.9386287916892844,0.9759058780048354,0.06750354431569576,1.878695619491355e-15,-0.06750354431569389,99.9999999985158
vmunet.layers_up.0.blocks.1,Decoder,64x64,0.9417258639810568,0.0009421834728114975,0.8898694883763085,0.0016810577451953357,0.964400634765625,0.9388040896210677,0.9757078839050596,0.06811955571174622,1.8479667094149355e-15,-0.06811955571174437,99.99999999852928
vmunet.layers_up.1.blocks.0,Decoder,32x32,0.9403689783684255,-0.0004147021398198669,0.8874494603984749,-0.0007389702326382475,0.9642520141601563,0.9199446217897321,0.9838247620220918,0.2289220005273819,4.216568487903536e-15,-0.22892200052737768,99.99999999956133
vmunet.layers_up.1.blocks.1,Decoder,32x32,0.940814659922863,3.097941461760456e-05,0.8882436570112898,5.522638017663173e-05,0.96456787109375,0.9191179326796182,0.9846453375689405,0.19641269445419313,4.0684912892073704e-15,-0.19641269445418905,99.9999999994888
