layer,stage,resolution,dice,delta_dice,iou,delta_iou
vmunet.layers.2.blocks.0,Encoder,64x64,0.94390807343985,-0.008606484422582938,0.8937745377093264,-0.015559873582032147
vmunet.layers.2.blocks.1,Encoder,64x64,0.9441037057375892,-0.008410852124843715,0.8941254087808751,-0.015209002510483405
vmunet.layers.2.blocks.2,Encoder,64x64,0.9470705369628064,-0.005444020899626478,0.8994624713330414,-0.009871939958317144
vmunet.layers.2.blocks.3,Encoder,64x64,0.9482312719880706,-0.00428328587436233,0.9015587236373084,-0.007775687654050123
vmunet.layers.2.blocks.5,Encoder,64x64,0.9494564810398988,-0.003058076822534117,0.9037764394374969,-0.005557971853861643
vmunet.layers.2.blocks.4,Encoder,64x64,0.9501784455193091,-0.0023361123431238084,0.9050856704779016,-0.0042487408134569415
vmunet.layers.1.blocks.1,Encoder,64x64,0.9509598941187377,-0.0015546637436951727,0.9065048026165493,-0.002829608674809192
vmunet.layers.0.blocks.1,Encoder,64x64,0.9538366172063113,0.0013220593438784123,0.9117472785743784,0.002412867283019926
vmunet.layers_up.0.blocks.0,Decoder,64x64,0.9536566367452984,0.0011420788828655493,0.9114184408633351,0.00208402957197662
vmunet.layers.3.blocks.0,Encoder,64x64,0.95365045689795,0.0011358990355171406,0.9114071518306582,0.0020727405392997333
vmunet.layers_up.0.blocks.1,Decoder,64x64,0.9536430037951845,0.0011284459327516316,0.9113935370567513,0.0020591257653927997
vmunet.layers.3.blocks.1,Encoder,64x64,0.95363431777959,0.0011197599171570705,0.9113776703341014,0.00204325904274294
vmunet.layers_up.1.blocks.0,Decoder,32x32,0.953305436003459,0.0007908781410260746,0.9107770965805927,0.0014426852892341913
vmunet.layers_up.3.blocks.1,Decoder,8x8,0.9517648057854585,-0.0007497520769743637,0.9079687564760982,-0.0013656548152602976
vmunet.layers.0.blocks.0,Encoder,64x64,0.9518817775133402,-0.0006327803490926431,0.9081816889463112,-0.0011527223450472635
vmunet.layers_up.1.blocks.1,Decoder,32x32,0.9530850365373136,0.0005704786748806923,0.9103748344421126,0.001040423150754144
vmunet.layers.1.blocks.0,Encoder,64x64,0.9519577564203748,-0.0005568014420580525,0.9083200245525692,-0.0010143867387892858
vmunet.layers.2.blocks.6,Encoder,64x64,0.9519801850457225,-0.0005343728167104267,0.9083608644243573,-0.0009735468670012404
vmunet.layers_up.2.blocks.0,Decoder,16x16,0.9530024764224565,0.00048791856002361467,0.91022419343084,0.0008897821394815431
vmunet.layers_up.1.blocks.2,Decoder,32x32,0.9529522368437372,0.0004376789813043125,0.9101325368110427,0.0007981255196841675
vmunet.layers_up.1.blocks.3,Decoder,32x32,0.9529467892747364,0.0004322314123035298,0.9101225988454376,0.0007881875540790562
vmunet.layers_up.3.blocks.0,Decoder,8x8,0.9520823631244578,-0.0004321947379750668,0.908546940733982,-0.0007874705573764906
vmunet.layers_up.1.blocks.4,Decoder,32x32,0.9529305314198879,0.0004159735574550405,0.9100929403586926,0.0007585290673340905
vmunet.layers_up.1.blocks.5,Decoder,32x32,0.9529043086534925,0.00038975079105962873,0.9100451052645532,0.000710693973194676
vmunet.layers_up.1.blocks.6,Decoder,32x32,0.9528819422075315,0.0003673843450986425,0.9100043066933587,0.0006698954020002423
vmunet.layers_up.1.blocks.7,Decoder,32x32,0.9528671800632587,0.00035262220082576956,0.9099773800622758,0.000642968770917296
vmunet.layers_up.1.blocks.8,Decoder,32x32,0.9528402767385602,0.0003257188761273122,0.9099283094759257,0.000593898184567232
vmunet.layers_up.2.blocks.1,Decoder,16x16,0.9522396490108929,-0.0002749088515400233,0.9088334447013185,-0.0005009665900399529
vmunet.layers.2.blocks.8,Encoder,64x64,0.9523388541841977,-0.00017570367823516175,0.9090141960381874,-0.00032021525317105226
vmunet.layers.2.blocks.7,Encoder,64x64,0.952423975090558,-9.058277187490305e-05,0.9091693131989065,-0.00016509809245202067
