layer,stage,resolution,dice,delta_dice,iou,delta_iou
vmunet.layers.0.blocks.0,Encoder,64x64,0.9310600330104987,-0.00972364749774668,0.8710124625919644,-0.01717596803914878
vmunet.layers.3.blocks.0,Encoder,64x64,0.9425317486883124,0.0017480681800670084,0.8913097367407413,0.0031213061096281303
vmunet.layers.3.blocks.1,Encoder,64x64,0.9424307702228331,0.0016470897145877128,0.8911291513477619,0.002940720716648748
vmunet.layers_up.0.blocks.0,Decoder,64x64,0.9423899530737784,0.001606272565533029,0.8910561655618604,0.002867734930747212
vmunet.layers_up.0.blocks.1,Decoder,64x64,0.9422989069637305,0.0015152264554851858,0.8908933848775159,0.002704954246402713
vmunet.layers_up.2.blocks.0,Decoder,16x16,0.9398623088187439,-0.0009213716895014601,0.8865473953402264,-0.001641035290886772
vmunet.layers_up.3.blocks.0,Decoder,8x8,0.9416670313766267,0.0008833508683813163,0.8897644307551905,0.0015760001240773258
vmunet.layers.2.blocks.1,Encoder,64x64,0.9416026678871632,0.0008189873789178348,0.889649509988351,0.0014610793572378267
vmunet.layers.1.blocks.1,Encoder,64x64,0.9401773868021425,-0.0006062937061028784,0.8871082529229082,-0.0010801777082050101
vmunet.layers.2.blocks.0,Encoder,64x64,0.9402097244664133,-0.0005739560418320799,0.8871658347620083,-0.0010225958691049142
vmunet.layers_up.1.blocks.0,Decoder,32x32,0.9413222418058698,0.0005385612976244181,0.8891489733491305,0.0009605427180172654
vmunet.layers.1.blocks.0,Encoder,64x64,0.940267578223329,-0.0005161022849163865,0.8872688604232228,-0.0009195702078903523
vmunet.layers_up.2.blocks.1,Decoder,16x16,0.9404575815004038,-0.00032609900784152934,0.8876072963951487,-0.0005811342359645089
vmunet.layers.0.blocks.1,Encoder,64x64,0.9410436296027774,0.0002599490945320859,0.8886519368591028,0.0004635062279896296
vmunet.layers_up.1.blocks.1,Decoder,32x32,0.9408956104608278,0.00011192995258246796,0.8883879811604046,0.0001995505292914368
